Date,ETH_sent,LINK_sent,DOGE_sent,ADA_sent,BTC_carry,ETH_carry
2020-09-30,0.0,-0.0,-0.0,0.0,0.00019122563887179824,0.000112995
2020-10-01,-0.0,0.0,-0.0,-0.0,0.00018167423194458766,8.55237e-05
2020-10-02,-0.0,-0.0,-0.0,-0.0,0.0001747306747817443,8.46596e-05
2020-10-03,0.0,-0.0,0.0,0.0,0.00016320030406104168,7.91351e-05
2020-10-04,0.0,0.0,0.0,0.0,0.00018054772074416886,0.000124564
2020-10-05,-0.00354113,-0.003885781,0.005636822,-0.005354214,0.00019407206901215143,0.000110743
2020-10-06,-0.0,-0.0,-0.0,-0.0,0.00017124510724663924,9.74524e-05
2020-10-07,0.0,0.0,-0.0,0.0,0.0001614944826341726,0.000103653
2020-10-08,0.0,0.0,0.0,0.0,0.0001958252302074468,0.000140126
2020-10-09,0.0,0.0,0.0,0.0,0.000221971403132766,0.000150521
2020-10-10,0.0,0.0,0.0,0.0,0.00023449836266652567,0.000150383
2020-10-11,0.0,0.0,0.0,0.0,0.0002443342705255495,0.000154408
2020-10-12,0.0,0.0,-0.0,0.0,0.000280960135092247,0.000183625
2020-10-13,-0.0,0.0,-0.0,-0.0,0.0002795304457570539,0.000139251
2020-10-14,-0.0,0.0,0.0,-0.0,0.0002508835340782559,0.000128105
2020-10-15,-0.0,0.0,-0.0,-0.0,0.00026246720080539077,0.000160875
2020-10-16,-0.032675082,-0.04667618,0.003346607,-0.023910057,0.0002405623984687597,0.000106726
2020-10-17,0.0,-0.0,-0.0,0.0,0.0002355799474866418,0.000131701
2020-10-18,0.0,0.0,0.0,0.0,0.00025883950805564456,0.000140116
2020-10-19,0.0,0.0,0.0,0.0,0.0002669794021693602,0.000146473
2020-10-20,-0.0,-0.0,0.0,-0.0,0.00028243900071931366,0.000118629
2020-10-21,0.0,0.0,0.0,0.0,0.00029149723074706077,0.000176546
2020-10-22,0.05869704,0.036018025,0.008730365,0.04505516,0.0002950134088842802,0.000161322
2020-10-23,-0.0,0.0,-0.0,-0.0,0.00029963491880173674,0.000174094
2020-10-24,0.0,0.0,-0.0,-0.0,0.00032234456423320065,0.000168262
2020-10-25,-0.0,-0.0,0.0,-0.0,0.0003359202713969106,0.000170943
2020-10-26,-0.0,-0.0,0.0,-0.0,0.00030495821721494197,0.000154378
2020-10-27,0.0,0.0,0.0,-0.0,0.00029597322734312603,0.000150732
2020-10-28,-0.0,0.0,-0.0,-0.0,0.0002625577697716467,0.0001364
2020-10-29,-0.0,-0.0,-0.0,-0.0,0.0002628575504989552,0.000142827
2020-10-30,-0.0,-0.0,0.0,-0.0,0.00027204190103334244,0.00014811
2020-10-31,0.0,0.0,-0.0,-0.0,0.0002747764897616185,0.000148881
2020-11-01,0.0,0.0,0.0,0.0,0.00029363257191609174,0.000165046
2020-11-02,0.035017494,0.040933929,0.022905514,0.063650208,0.00023507705875574995,0.000133834
2020-11-03,0.0,-0.0,-0.0,0.0,0.00025548825039077057,0.000165726
