Date,ETH,BCH,DOGE,ADA
15/7/18,0.037582143,,,0.041402046
16/7/18,0.0,,,0.0
17/7/18,-0.041489706,,,-0.090391159
18/7/18,-0.039568837,,,0.052130362
19/7/18,0.022870678,,,-0.00761509
20/7/18,-0.0,,,-0.0
21/7/18,0.0,,,0.0
22/7/18,-0.006015056,,,0.03543974
23/7/18,0.016352621,,,0.029577128
24/7/18,-0.06292629,,,-0.054852076
25/7/18,0.01509415,,,0.004274498
26/7/18,-0.0,,,-0.0
27/7/18,0.0,,,0.0
28/7/18,-0.0,,,-0.0
29/7/18,-0.006177279,,,-0.008690917
30/7/18,-0.0,,,-0.0
31/7/18,0.05406235,,,0.078136129
1/8/18,-0.0,,,-0.0
2/8/18,-0.0,,,-0.0
3/8/18,0.0,,,-0.0
4/8/18,-0.0,,,-0.0
5/8/18,0.0,,,0.0
6/8/18,-0.0,,,-0.0
7/8/18,-0.0,,,-0.0
8/8/18,-0.0,,,-0.0
9/8/18,0.0,,,0.0
10/8/18,-0.0,,,-0.0
11/8/18,-0.0,,,-0.0
12/8/18,0.0,,,0.0
13/8/18,-0.0,,,-0.0
14/8/18,0.019210153,,,0.077555042
15/8/18,0.009686777,,,0.001175779
16/8/18,0.0,,,0.0
17/8/18,0.0,,,0.0
18/8/18,-0.0,,,-0.0
19/8/18,0.0,,,0.0
20/8/18,-0.0,,,-0.0
21/8/18,-0.038792655,,,-0.031649909
22/8/18,-0.0,,,-0.0
23/8/18,0.0,,,0.0
24/8/18,0.0,,,0.0
25/8/18,-0.0,,,0.0
26/8/18,-0.0,,,-0.0
27/8/18,0.0,,,0.0
28/8/18,-0.026512742,,,-0.048927549
29/8/18,-0.0,,,-0.0
30/8/18,-0.0,,,-0.0
31/8/18,-0.0,,,0.0
1/9/18,0.0,,,0.0
2/9/18,-0.001015022,,,-0.018870265
3/9/18,-0.0,,,-0.0
4/9/18,0.0131968,,,-0.016193522
5/9/18,-0.0,,,-0.0
6/9/18,0.0,,,0.0
7/9/18,-0.0,,,-0.0
8/9/18,-0.089930198,,,-0.067124219
9/9/18,-0.0,,,-0.0
10/9/18,0.0,,,-0.0
11/9/18,-0.0,,,-0.0
12/9/18,-0.0,,,-0.0
13/9/18,0.0,,,0.0
14/9/18,-0.0,,,-0.0
15/9/18,0.0,,,0.0
16/9/18,-0.005074083,,,0.013397881
17/9/18,-0.0,,,-0.0
18/9/18,-0.059424401,,,-0.083539151
19/9/18,0.0,,,0.0
20/9/18,0.0,,,0.0
21/9/18,0.0,,,0.0
22/9/18,-0.0,,,-0.0
23/9/18,0.014376883,,,0.074844431
24/9/18,-0.0,,,-0.0
25/9/18,0.037709972,,,0.016270467
26/9/18,-0.0,,,-0.0
27/9/18,0.0,,,0.0
28/9/18,-0.0,,,-0.0
29/9/18,-0.043141696,,,-0.006652436
30/9/18,0.005682812,,,0.007666488
1/10/18,0.005725987,,,0.00518319
2/10/18,-0.0,,,-0.0
3/10/18,0.022040941,,,0.016675227
4/10/18,0.008524509,,,0.009352763
5/10/18,0.0,,,0.0
6/10/18,-0.0,,,-0.0
7/10/18,0.003277675,,,0.037681256
8/10/18,-0.01696851,,,-0.027271239
9/10/18,0.007024308,,,0.004493872
10/10/18,-0.0,,,-0.0
11/10/18,-0.168498511,,,-0.187862518
12/10/18,0.027695186,,,0.033477673
13/10/18,-0.02179567,,,-0.007349972
14/10/18,-0.021541844,,,-0.028054645
15/10/18,-0.084542297,,,-0.06754133
16/10/18,0.0,,,0.0
17/10/18,0.010468853,,,-0.027520601
18/10/18,-0.031547153,,,-0.041635435
19/10/18,-0.0,,,0.0
20/10/18,0.0,,,0.0
21/10/18,-0.002022148,,,-0.006068842
22/10/18,0.003959827,,,-0.001294331
23/10/18,0.00397557,,,0.017484788
24/10/18,-0.0,,,-0.0
25/10/18,-0.0,,,-0.0
26/10/18,0.004842861,,,-0.000936518
27/10/18,-0.0,,,-0.0
28/10/18,0.002637751,,,0.001630878
29/10/18,-0.0,,,-0.0
30/10/18,-0.001572686,,,0.001711108
31/10/18,-0.007373771,,,-0.007677035
1/11/18,0.0,,,0.0
2/11/18,0.0,,,0.0
3/11/18,-0.0,,,-0.0
4/11/18,0.057238841,,,0.074227394
5/11/18,-0.0,,,-0.0
6/11/18,-0.046740079,,,-0.060953704
7/11/18,-0.0,,,-0.0
8/11/18,-0.02908555,,,-0.027722515
9/11/18,-0.0,,,-0.0
10/11/18,0.0,,,0.0
11/11/18,-0.00333498,,,0.019937701
12/11/18,0.0,,,-0.0
13/11/18,0.014430265,,,0.029305159
14/11/18,0.112939893,,,0.114556498
15/11/18,-0.016569318,,,-0.033917092
16/11/18,0.041308054,,,0.046113098
17/11/18,-0.0,,,-0.0
18/11/18,0.015598481,,,0.017966009
19/11/18,-0.0,,,-0.0
20/11/18,-0.0,,,-0.0
21/11/18,0.032423351,,,0.053481872
22/11/18,0.087649516,,,0.093513902
23/11/18,-0.0,,,-0.0
24/11/18,-0.084498576,,,-0.116072171
25/11/18,0.0,,,-0.0
26/11/18,-0.0,,,-0.0
27/11/18,-0.006753436,,,-0.011164173
28/11/18,0.097974426,,,0.133869814
29/11/18,-0.0,,,-0.0
30/11/18,-0.0,,,-0.0
1/12/18,0.0,,,0.0
2/12/18,-0.013039772,,,0.011771908
3/12/18,-0.0,,,-0.0
4/12/18,-0.010791143,,,0.025264502
5/12/18,-0.0,,,-0.0
6/12/18,-0.121049977,,,-0.113723883
7/12/18,0.0,,,-0.0
8/12/18,-0.029113979,,,0.015012792
9/12/18,0.0,,,0.0
10/12/18,-0.0,,,-0.043706644
11/12/18,0.024203354,,,0.01557242
12/12/18,0.0,,,0.0
13/12/18,-0.0,,,-0.0
14/12/18,-0.0,,,-0.0
15/12/18,-0.0,,,-0.0
16/12/18,0.010805781,,,0.03259444
17/12/18,0.0,,,0.0
18/12/18,0.0,,,0.0
19/12/18,-0.0,,,-0.0
20/12/18,0.0,,,0.0
21/12/18,-0.0,,,0.0
22/12/18,0.0,,,0.0
23/12/18,0.0,,,0.0
24/12/18,0.0,,,0.0
25/12/18,-0.0,,,-0.0
26/12/18,-0.013621538,,,0.011509861
27/12/18,-0.0,,,-0.0
28/12/18,0.0,,,0.0
29/12/18,-0.0,,,-0.0
30/12/18,0.0,,,0.0
31/12/18,-0.0,,,-0.0
1/1/19,0.0,,,0.0
2/1/19,0.088753209,,,0.054468334
3/1/19,-0.0,,,-0.0
4/1/19,-0.038023825,,,-0.02257326
5/1/19,0.0,,,0.0
6/1/19,0.006716905,,,0.090902653
7/1/19,-0.0,,,-0.0
8/1/19,-0.0,,,0.0
9/1/19,-0.003381809,,,-0.07339044
10/1/19,-0.0,,,-0.0
11/1/19,-0.0,,,-0.0
12/1/19,-0.0,,,-0.0
13/1/19,-0.07742487,,,-0.083624987
14/1/19,0.0,,,0.0
15/1/19,0.065090071,,,0.033242761
16/1/19,0.0,,,0.0
17/1/19,0.0,,,0.0
18/1/19,-0.0,,,-0.0
19/1/19,0.028375978,,,0.032184617
20/1/19,-0.0,,,-0.0
21/1/19,-0.0,,,-0.0
22/1/19,0.0,,,0.0
23/1/19,-0.0,,,-0.0
24/1/19,-0.0,,,0.004210533
25/1/19,0.011058428,,,0.010323883
26/1/19,0.0,,,0.000235821
27/1/19,-0.028939088,,,-0.036987886
28/1/19,-0.0,,,-0.0
29/1/19,-0.0,,,-0.0
30/1/19,0.0,,,0.0
31/1/19,-0.0,,,-0.0
1/2/19,0.002720835,,,0.008592684
2/2/19,0.0,,,0.0
3/2/19,-0.028103604,,,-0.027087945
4/2/19,0.0,,,-0.0
5/2/19,-0.0,,,0.0
6/2/19,-0.0,,,-0.0
7/2/19,-0.0,,,-0.0
8/2/19,0.0,,,0.0
9/2/19,0.000503271,,,-0.010990464
10/2/19,0.0,,,0.0
11/2/19,-0.034392236,,,-0.028610534
12/2/19,0.012495025,,,0.000959003
13/2/19,-0.0,,,-0.0
14/2/19,-0.0,,,-0.0
15/2/19,0.01032683,,,0.005434796
16/2/19,0.008185361,,,0.010294209
17/2/19,-0.086474563,,,-0.013562814
18/2/19,-0.085508691,,,-0.093405772
19/2/19,0.015564247,,,-0.006333973
20/2/19,-0.034264007,,,-0.033190071
21/2/19,-0.01869976,,,-0.052313635
22/2/19,-0.011397496,,,-0.016289156
23/2/19,0.0,,,0.0
24/2/19,-0.177705824,,,-0.153600549
25/2/19,-0.042752001,,,-0.045852631
26/2/19,-0.0,,,-0.0
27/2/19,-0.0,,,0.0
28/2/19,0.0,,,-0.0
1/3/19,-0.0,,,0.0
2/3/19,-0.020606971,,,-0.013580167
3/3/19,-0.0,,,-0.0
4/3/19,0.038638953,,,0.044732786
5/3/19,0.0,,,0.0
6/3/19,-0.004961341,,,0.009598575
7/3/19,-0.0,,,0.0
8/3/19,-0.0,,,-0.0
9/3/19,0.0,,,0.0
10/3/19,-0.013938019,,,-0.02684725
11/3/19,0.020146928,,,-0.037683434
12/3/19,-0.006760843,,,0.002962965
13/3/19,-0.0,,,-0.0
14/3/19,0.004169041,,,0.029604973
15/3/19,-0.032448151,,,-0.045737491
16/3/19,0.031428275,,,0.026900356
17/3/19,0.016095344,,,0.027903265
18/3/19,0.007818761,,,-0.002805613
19/3/19,-0.006953023,,,-0.04078197
20/3/19,0.0,,,0.0
21/3/19,0.030382823,,,0.02266386
22/3/19,0.0,,,0.0
23/3/19,0.0,,,0.0
24/3/19,-0.0,,,-0.0
25/3/19,-0.015625896,,,-0.048977143
26/3/19,0.0,,,0.0
27/3/19,0.0,,,0.0
28/3/19,0.011467437,,,0.022041955
29/3/19,0.0,,,0.0
30/3/19,-0.005530097,,,0.013685453
31/3/19,-0.0,,,-0.0
1/4/19,0.00099073,,,-0.031131467
2/4/19,-0.145189664,,,-0.169760331
3/4/19,-0.0,,,0.0
4/4/19,-0.0,,,-0.0
5/4/19,0.0,,,0.0
6/4/19,0.0,,,-0.0
7/4/19,0.0,,,-0.0
8/4/19,0.025558867,,,-0.042772671
9/4/19,0.023322692,,,0.037418526
10/4/19,0.0,,,0.0
11/4/19,-0.0,,,-0.0
12/4/19,-0.0,,,-0.0
13/4/19,-0.001226317,,,0.004112743
14/4/19,0.025681261,,,0.015808712
15/4/19,-0.0,,,-0.0
16/4/19,0.0,,,0.0
17/4/19,-0.002295241,,,0.003269758
18/4/19,0.0,,,-0.0
19/4/19,-0.0,,,-0.0
20/4/19,0.0,,,-0.0
21/4/19,-0.0,,,-0.0
22/4/19,0.0,,,0.0
23/4/19,0.008007579,,,0.059287375
24/4/19,-0.0,,,-0.0
25/4/19,0.062994219,,,0.035170633
26/4/19,0.020661496,,,0.004732888
27/4/19,0.008573462,,,0.008690132
28/4/19,-0.009206775,,,-0.024699705
29/4/19,0.017510672,,,0.054988456
30/4/19,-0.042411859,,,-0.073998245
1/5/19,-0.0,,,-0.0
2/5/19,0.010062197,,,-0.003494471
3/5/19,0.0,,,0.0
4/5/19,0.026285574,,,0.045030265
5/5/19,-0.003978582,,,-0.012641252
6/5/19,-0.059234692,,,-0.013986242
7/5/19,-0.0,,,-0.0
8/5/19,-0.009822742,,,-0.009004874
9/5/19,0.0,,,-0.0
10/5/19,0.0,,,0.0
11/5/19,0.0,,,0.0
12/5/19,-0.0,,,-0.0
13/5/19,0.0,,,0.0
14/5/19,-0.099830548,,,-0.150173435
